index,scenario,location,fossil_depletion,human_toxicity,land_occupation,marine_toxicity,metal_depletion,climate_change,tech_type
799,99,PRT_2,297921.60957412515,477252.2992153511,1592849.6865239972,35232.789134496765,346304.1625219816,1425452.464454167,hydro_run_of_river
800,100,PRT_1,118794.70464584114,1866.0417381924096,204.7469289031786,249.8621269811477,848.1385108173461,217929.9951370082,ccgt
801,100,PRT_2,50077.77572302608,786.6278209419892,86.31084033719762,105.329101948975,357.531846671074,91868.14725729715,ccgt
802,100,PRT_1,46425.72967602644,381845.5686648925,4323604.754090988,5286.135073267785,11227.794199741693,175035.77078731588,chp_biofuel_extraction
803,100,PRT_2,21759.08671628932,178965.64897935573,2026412.7549040308,2477.5371815566214,5262.309269658846,82036.80462518314,chp_biofuel_extraction
804,100,PRT_1,2313411.150029191,4325283.291322394,74790053.71164449,278652.48753836483,1846101.335310193,106407530.54261471,hydro_reservoir
805,100,PRT_2,422387.3516724986,789719.0927915783,13655321.371778997,50876.94258186604,337064.9674317065,19428105.126638822,hydro_reservoir
806,100,PRT_1,1898785.804229803,3041739.375943704,10151933.5148837,224554.1031670595,2207149.151356958,9085037.194781031,hydro_run_of_river
807,100,PRT_2,291380.6181887194,466774.0288331016,1557878.0169875268,34459.23876820413,338700.9123011451,1394156.0697292984,hydro_run_of_river
808,101,PRT_1,20128.67516175919,316.1836893179604,34.692492687671056,42.33684998185498,143.7093061287241,36926.24257280116,ccgt
809,101,PRT_2,15605.64344894036,245.13535442415983,26.89688550726497,32.82351075063817,111.4169796927402,28628.69865350114,ccgt
810,101,PRT_1,5513.673988347899,45349.24909539361,513485.6734591912,627.7989738828096,1333.4501634684425,20787.830006230502,chp_biofuel_extraction
811,101,PRT_2,4939.683307945678,40628.25064698981,460030.2113284047,562.4431401979848,1194.6338373256194,18623.75198591629,chp_biofuel_extraction
812,101,PRT_1,2313890.396950288,4326179.318256565,74805547.24074309,278710.2132680549,1846483.774195287,106429573.95733304,hydro_reservoir
813,101,PRT_2,422486.5814323906,789904.6183184424,13658529.361449154,50888.89489714359,337144.15274739783,19432669.293153845,hydro_reservoir
814,101,PRT_1,1947303.430639094,3119461.662653304,10411334.92630666,230291.8920539698,2263546.0539020333,9317177.354850162,hydro_run_of_river
815,101,PRT_2,293224.55229942576,469727.8991320509,1567736.6837502632,34677.30600338485,340844.3018285672,1402978.660430774,hydro_run_of_river
816,102,PRT_1,119056.85103883022,1870.1595657697628,205.198747602064,250.413502192088,850.0101131924582,218410.9051432212,ccgt
817,102,PRT_2,54387.443479130256,854.3246087290194,93.7387070951144,114.39367057038416,388.3008544620933,99774.27300532552,ccgt
818,102,PRT_1,40286.03953306149,331347.4183842886,3751818.512366573,4587.056531471965,9742.94565010241,151887.71465403566,chp_biofuel_extraction
819,102,PRT_2,20705.919798103107,170303.48850109993,1928331.8517906745,2357.621293899518,5007.606941921884,78066.12102841855,chp_biofuel_extraction
820,102,PRT_1,2313533.0732876733,4325511.245887552,74793995.35731798,278667.17330629,1846198.63003028,106413138.51802826,hydro_reservoir
