spores,techs,exporting_region,unit,carriers,importing_region,transmission_capacity
67,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000284996549995
67,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000284996549995
68,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0001643279004
68,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0001643279004
68,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0001456644352
68,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0001456644352
69,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9999925845197
69,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9999925845197
69,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000061717747
69,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000061717747
70,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0003645708262
70,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0003645708262
70,ac_transmission,PRT_1,gw,electricity,PRT_2,4.000049621812
70,ac_transmission,PRT_2,gw,electricity,PRT_1,4.000049621812
71,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000386618320998
71,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000386618320998
71,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999991813602
71,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999991813602
72,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0001084263808
72,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0001084263808
72,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000099739661
72,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000099739661
73,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000011434026
73,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000011434026
73,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000008154872
73,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000008154872
74,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000000231182002
74,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000000231182002
74,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000246942558
74,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000246942558
75,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0002549646400998
75,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0002549646400998
75,ac_transmission,PRT_1,gw,electricity,PRT_2,4.000000747616999
75,ac_transmission,PRT_2,gw,electricity,PRT_1,4.000000747616999
76,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0001017585181997
76,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0001017585181997
76,ac_transmission,PRT_1,gw,electricity,PRT_2,4.000002913961
