spores,locs,carriers,unit,electrification_rate_road_transport
215,PRT_1,transport,fraction,0.9999976920682839
215,PRT_2,transport,fraction,0.9999967033921728
216,PRT_1,transport,fraction,0.999997934013784
216,PRT_2,transport,fraction,0.9999971874226062
217,PRT_1,transport,fraction,0.9999870129626537
217,PRT_2,transport,fraction,0.999974783439432
218,PRT_1,transport,fraction,0.9999816380040648
218,PRT_2,transport,fraction,0.9999657591003415
219,PRT_1,transport,fraction,0.9999983946514656
219,PRT_2,transport,fraction,0.9999973951738171
220,PRT_1,transport,fraction,0.9999964369929446
220,PRT_2,transport,fraction,0.9999945348065953
221,PRT_1,transport,fraction,0.9999970951664621
221,PRT_2,transport,fraction,0.9999949727607457
222,PRT_1,transport,fraction,0.9999737043690864
222,PRT_2,transport,fraction,0.9999520578796244
223,PRT_1,transport,fraction,0.9999722536666571
223,PRT_2,transport,fraction,0.999948990876656
224,PRT_1,transport,fraction,0.9999670316916188
224,PRT_2,transport,fraction,0.9999450546840116
225,PRT_1,transport,fraction,0.9999963573882613
225,PRT_2,transport,fraction,0.9999945148597412
226,PRT_1,transport,fraction,0.9999851303513313
226,PRT_2,transport,fraction,0.9999752125503195
227,PRT_1,transport,fraction,0.9999694336756282
227,PRT_2,transport,fraction,0.9999538140134805
228,PRT_1,transport,fraction,0.9999960162818416
228,PRT_2,transport,fraction,0.9999959168313304
229,PRT_1,transport,fraction,0.9999968014942666
229,PRT_2,transport,fraction,0.9999949544037797
230,PRT_1,transport,fraction,0.9999971564888486
230,PRT_2,transport,fraction,0.9999955293981757
231,PRT_1,transport,fraction,0.999999761907844
231,PRT_2,transport,fraction,0.9999998187461874
232,PRT_1,transport,fraction,0.9986068401058139
232,PRT_2,transport,fraction,0.9994256460582743
233,PRT_1,transport,fraction,0.9999991517889434
233,PRT_2,transport,fraction,0.9999994558635034
234,PRT_1,transport,fraction,0.9999993136940413
234,PRT_2,transport,fraction,0.9999996121352424
235,PRT_1,transport,fraction,0.999998696944312
235,PRT_2,transport,fraction,0.9999994309163277
236,PRT_1,transport,fraction,0.9999984277914095
236,PRT_2,transport,fraction,0.9999990958911229
237,PRT_1,transport,fraction,0.9999986860324377
237,PRT_2,transport,fraction,0.9999991572783284
238,PRT_1,transport,fraction,0.9999989142614503
238,PRT_2,transport,fraction,0.9999994773216787
239,PRT_1,transport,fraction,0.9999992506247088
239,PRT_2,transport,fraction,0.9999996061634459
240,PRT_1,transport,fraction,0.999999274316783
240,PRT_2,transport,fraction,0.9999995970273761
241,PRT_1,transport,fraction,0.41005720489714204
241,PRT_2,transport,fraction,0.8328478547673125
242,PRT_1,transport,fraction,0.4164416241615067
242,PRT_2,transport,fraction,0.8960981548445539
243,PRT_1,transport,fraction,0.41648680669265137
243,PRT_2,transport,fraction,0.9140904860871246
244,PRT_1,transport,fraction,0.41647287818591916
244,PRT_2,transport,fraction,0.9230116985923125
245,PRT_1,transport,fraction,0.4164646138292493
245,PRT_2,transport,fraction,0.9270017847416099
246,PRT_1,transport,fraction,0.4164739851970306
246,PRT_2,transport,fraction,0.9302167292183403
247,PRT_1,transport,fraction,0.41647628636061784
247,PRT_2,transport,fraction,0.9314758918351982
248,PRT_1,transport,fraction,0.41648603038232673
248,PRT_2,transport,fraction,0.9320338308943963
249,PRT_1,transport,fraction,0.4164576973577599
249,PRT_2,transport,fraction,0.9323890945163255
250,PRT_1,transport,fraction,0.41649800272791365
250,PRT_2,transport,fraction,0.9325136194720351
